,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
304,18.669,-13.24,8477.0,0.0
305,18.656,-13.108,10942.0,0.0
306,18.586,-12.929,7437.0,0.0
307,18.581,-12.892,10958.0,0.0
308,18.556,-12.851,15936.0,0.0
309,18.595,-12.791,32940.0,0.0
310,18.647,-12.744,34883.0,0.0
311,18.69,-12.792,35758.0,0.0
312,18.754,-12.777,36140.0,0.0
313,18.805,-12.627,35703.0,0.0
314,18.829,-12.693,36069.0,0.0
315,18.87,-12.684,36078.0,0.0
316,18.871,-12.566,35825.0,0.0
317,18.918,-12.432,70243.0,0.0
318,18.98,-12.385,74512.0,1.007
319,18.983,-12.417,82895.0,7.394
320,19.008,-12.27,89677.0,21.17
321,19.037,-12.113,94115.0,42.634
322,19.084,-11.922,96852.0,74.848
323,19.168,-11.577,106730.0,85.152
324,19.238,-11.349,69440.0,99.017
325,19.262,-11.079,79154.0,112.48
326,19.282,-10.755,95265.0,105.92
327,19.365,-10.494,96803.0,106.183
328,19.39,-10.225,96677.0,103.79
329,19.419,-10.047,79468.0,98.383
330,19.472,-9.887,75281.0,109.067
331,19.507,-9.647,74264.0,105.633
332,19.551,-9.497,93444.0,118.89
333,19.582,-9.328,97212.0,137.84
334,19.651,-9.073,79481.0,166.67
335,19.64,-8.816,78300.0,192.477
336,19.65,-8.176,77388.0,176.07
337,19.661,-7.996,80265.0,144.793
338,19.681,-8.008,80067.0,163.863
339,19.724,-7.874,55659.0,154.183
340,19.768,-7.599,93937.0,138.143
341,19.851,-7.6,98455.0,125.35
342,19.875,-7.69,79737.0,121.2
343,19.952,-7.763,76485.0,111.84
344,19.997,-7.759,77932.0,108.857
345,20.016,-7.709,73618.0,97.133
346,20.034,-7.633,78699.0,86.037
347,20.091,-7.462,71922.0,75.404
348,20.095,-7.364,77150.0,72.27
349,20.161,-7.41,76952.0,53.716
350,20.226,-7.43,77448.0,24.956
351,20.238,-7.54,77602.0,15.813
352,20.252,-7.55,74454.0,8.739
353,20.27,-7.496,75951.0,1.313
354,20.293,-7.395,77456.0,0.0
355,20.292,-7.344,72674.0,0.0
356,20.284,-7.371,91627.0,0.0
357,20.285,-7.372,96843.0,0.0
358,20.308,-7.344,70088.0,0.0
359,20.341,-7.364,78645.0,0.0
360,20.34,-7.526,78223.0,0.0
361,20.322,-7.659,75762.0,0.0
362,20.326,-7.697,77683.0,0.0
363,20.335,-7.683,74266.0,0.0
364,20.333,-7.746,77399.0,0.0
365,20.34,-7.929,78213.0,0.0
366,20.333,-8.127,78365.0,0.0
367,20.352,-8.279,78500.0,0.0
368,20.382,-8.444,79202.0,0.0
369,20.375,-8.523,104929.0,0.0
370,20.396,-8.562,63067.0,0.0
371,20.409,-8.619,72791.0,0.0
372,20.413,-8.677,77790.0,0.0
373,20.356,-8.762,25527.0,0.0
374,20.225,-8.866,11709.0,0.0
375,20.11,-8.925,5067.0,0.0
376,20.05,-8.969,7369.0,0.0
377,19.951,-9.025,10607.0,0.0
378,19.924,-9.164,8296.0,0.0
379,19.879,-9.443,7637.0,0.0
380,19.788,-9.898,15505.0,0.0
381,19.784,-10.309,32970.0,0.0
382,19.778,-10.515,34930.0,0.0
